Month,Trade Date,Close
Mai 2025,04.07.2024,
Jun 2025,04.07.2024,37.904
Jul 2025,04.07.2024,
Jul 2024,05.07.2024,34.335
Aug 2024,05.07.2024,33.047
Sep 2024,05.07.2024,34.133
Okt 2024,05.07.2024,35.673
Nov 2024,05.07.2024,38.474
Dez 2024,05.07.2024,39.564
Jan 2025,05.07.2024,39.907
Feb 2025,05.07.2024,39.9
Mar 2025,05.07.2024,39.343
Apr 2025,05.07.2024,38.432
Mai 2025,05.07.2024,
Jun 2025,05.07.2024,37.39
Jul 2025,05.07.2024,
Jul 2024,08.07.2024,34.335
Aug 2024,08.07.2024,32.26
Sep 2024,08.07.2024,33.386
Okt 2024,08.07.2024,34.967
Nov 2024,08.07.2024,38.003
Dez 2024,08.07.2024,39.019
Jan 2025,08.07.2024,39.375
Feb 2025,08.07.2024,39.416
Mar 2025,08.07.2024,38.8
Apr 2025,08.07.2024,38.21
Mai 2025,08.07.2024,
Jun 2025,08.07.2024,37.051
Jul 2025,08.07.2024,
Jul 2024,09.07.2024,34.335
Aug 2024,09.07.2024,31.347
Sep 2024,09.07.2024,32.444
Okt 2024,09.07.2024,34.012
Nov 2024,09.07.2024,37.012
Dez 2024,09.07.2024,38.057
Jan 2025,09.07.2024,38.411
Feb 2025,09.07.2024,38.41
Mar 2025,09.07.2024,37.845
Apr 2025,09.07.2024,37.199
Mai 2025,09.07.2024,
Jun 2025,09.07.2024,36.244
Jul 2025,09.07.2024,
Jul 2024,10.07.2024,34.335
Aug 2024,10.07.2024,30.796
Sep 2024,10.07.2024,31.958
Okt 2024,10.07.2024,33.59
Nov 2024,10.07.2024,36.539
Dez 2024,10.07.2024,37.562
Jan 2025,10.07.2024,38.052
Feb 2025,10.07.2024,38.028
Mar 2025,10.07.2024,37.502
Apr 2025,10.07.2024,36.777
Mai 2025,10.07.2024,
Jun 2025,10.07.2024,35.875
Jul 2025,10.07.2024,
Jul 2024,11.07.2024,34.335
Aug 2024,11.07.2024,31.144
Sep 2024,11.07.2024,32.29
Okt 2024,11.07.2024,33.988
Nov 2024,11.07.2024,36.908
Dez 2024,11.07.2024,38.047
Jan 2025,11.07.2024,38.407
Feb 2025,11.07.2024,38.443
Mar 2025,11.07.2024,37.774
Apr 2025,11.07.2024,37.12
Mai 2025,11.07.2024,
Jun 2025,11.07.2024,36.191
Jul 2025,11.07.2024,
Jul 2024,12.07.2024,34.335
Aug 2024,12.07.2024,31.742
Sep 2024,12.07.2024,32.795
Okt 2024,12.07.2024,34.652
Nov 2024,12.07.2024,37.646
Dez 2024,12.07.2024,38.759
Jan 2025,12.07.2024,38.911
Feb 2025,12.07.2024,38.834
Mar 2025,12.07.2024,38.246
Apr 2025,12.07.2024,37.523
